2016-12-27 23:02:39,351 : INFO : Machine : Mission Pinball Framework Core Engine v0.32.6
2016-12-27 23:02:39,352 : INFO : Machine : Machine path: C:\pinball\redskullstest
2016-12-27 23:02:40,130 : INFO : Machine : Loading config from original files
2016-12-27 23:02:40,282 : INFO : Machine : Machine config file #1: C:\pinball\redskullstest\config\config
2016-12-27 23:02:40,645 : INFO : Machine : Config file cache created: C:\Users\Customer\AppData\Local\Temp\f6eef2de233280d1dd6b1c0885b8cc32config
2016-12-27 23:02:41,361 : INFO : BCPClientSocket.local_display : Connecting BCP to 'local_display' at localhost:5050...
2016-12-27 23:03:21,136 : INFO : BCPClientSocket.local_display : Connected BCP to 'local_display' localhost:5050
2016-12-27 23:03:21,387 : INFO : Mode.tilt : Mode Starting. Priority: 1000000
2016-12-27 23:03:21,390 : INFO : SwitchController : Active Switch|s_r_trough
2016-12-27 23:03:21,392 : INFO : SwitchController : Active Switch|s_l_trough
2016-12-27 23:03:21,393 : INFO : Mode.service : Mode Starting. Priority: 100000
2016-12-27 23:03:21,400 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-12-27 23:03:26,137 : INFO : SwitchController : <<<<< switch: s_credit_button, State:1 >>>>>
2016-12-27 23:03:26,236 : INFO : SwitchController : <<<<< switch: s_credit_button, State:0 >>>>>
2016-12-27 23:03:26,239 : INFO : Mode.game : Mode Starting. Priority: 20
2016-12-27 23:03:26,243 : INFO : Mode.game : Player added successfully. Total players: 1
2016-12-27 23:03:26,245 : INFO : Mode.base : Mode Starting. Priority: 100
2016-12-27 23:03:26,266 : INFO : SwitchController : <<<<< switch: s_r_trough, State:0 >>>>>
2016-12-27 23:03:26,357 : INFO : SwitchController : <<<<< switch: s_ball_shooter, State:1 >>>>>
2016-12-27 23:03:28,775 : INFO : SwitchController : <<<<< switch: s_ball_shooter, State:0 >>>>>
2016-12-27 23:03:40,063 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:03:40,149 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:03:40,691 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
